"","x"
"322","contig_3786"
"323","contig_3787"
"324","contig_3837"
"325","contig_3841"
"326","contig_3921"
"327","contig_3943"
"328","contig_3950"
"329","contig_3952"
"330","contig_3956"
"331","contig_3982"
"332","contig_4177"
"333","contig_4187"
"334","contig_4191"
"335","contig_4193"
"336","contig_4194"
"337","contig_4195"
"338","contig_4198"
"339","contig_4199"
"340","contig_4405"
"341","contig_4412"
"342","contig_4526"
"343","contig_4528"
"344","contig_4529"
"345","contig_4637"
"346","contig_4641"
"347","contig_4673"
"348","contig_4683"
"349","contig_4685"
"350","contig_4690"
"351","contig_4692"
"352","contig_4693"
"353","contig_4694"
"354","contig_4697"
"355","contig_4698"
"356","contig_4700"
"357","contig_4703"
"358","contig_4704"
"359","contig_4705"
"360","contig_4706"
"361","contig_4709"
"362","contig_4710"
"363","contig_4719"
"364","contig_4732"
"365","contig_4741"
"366","contig_4743"
"367","contig_4756"
"368","contig_4761"
"369","contig_4763"
"370","contig_4765"
"371","contig_4768"
"372","contig_4772"
"373","contig_4774"
"374","contig_4777"
"375","contig_4778"
"376","contig_4781"
"377","contig_4785"
"378","contig_4787"
"379","contig_4790"
"380","contig_4792"
"381","contig_4793"
"382","contig_4798"
"383","contig_4799"
"384","contig_4802"
"385","contig_4806"
"386","contig_4807"
"387","contig_4808"
"388","contig_4812"
"389","contig_4814"
"390","contig_4816"
"391","contig_4818"
"392","contig_4823"
"393","contig_4824"
"394","contig_4825"
"395","contig_4829"
"396","contig_4831"
"397","contig_4833"
"398","contig_4836"
"399","contig_4837"
"400","contig_4840"
"401","contig_4842"
"402","contig_4843"
"403","contig_4844"
"404","contig_4845"
"405","contig_4847"
"406","contig_4848"
"407","contig_4850"
"408","contig_4956"
"409","contig_4958"
"410","contig_4959"
"411","contig_4962"
"412","contig_4963"
"413","contig_5030"
"414","contig_5054"
"415","contig_5101"
"416","contig_5119"
"417","contig_5120"
"418","contig_5122"
"419","contig_5123"
"420","contig_5124"
"421","contig_5143"
"422","contig_5252"
"423","contig_5256"
"424","contig_5259"
"425","contig_5262"
"426","contig_5263"
"427","contig_5264"
"428","contig_5443"
"429","contig_5538"
"430","contig_5557"
"431","contig_5580"
"432","contig_5946"
"433","contig_6027"
"434","contig_6028"
"435","contig_6031"
"436","contig_6137"
"437","contig_6200"
"438","contig_6204"
"439","contig_6206"
"440","contig_6208"
"441","contig_6294"
"442","contig_6359"
"443","contig_6360"
"444","contig_6424"
"445","contig_6488"
"446","contig_6493"
"447","contig_6564"
"448","contig_6567"
"449","contig_6620"
"450","contig_6751"
"451","contig_6809"
"452","contig_6811"
"453","contig_6815"
"454","contig_6872"
"455","contig_6873"
"456","contig_6875"
"457","contig_6894"
"458","contig_6944"
"459","contig_6980"
"460","contig_6982"
"461","contig_6995"
"462","contig_6998"
"463","contig_7009"
"464","contig_7024"
"465","contig_7038"
"466","contig_7056"
"467","contig_7217"
"468","contig_7241"
"469","contig_7262"
"470","contig_7268"
"471","contig_7524"
"472","contig_7663"
"473","contig_7878"
"474","contig_7889"
"475","contig_8101"
"476","contig_8104"
"477","contig_8128"
"478","contig_8177"
"479","contig_8190"
"480","contig_8191"
"481","contig_8226"
"482","contig_8284"
"483","contig_8304"
"484","contig_8344"
"485","contig_8345"
"486","contig_8348"
"487","contig_8407"
"488","contig_8422"
"489","contig_8434"
"490","contig_8440"
"491","contig_8444"
"492","contig_8454"
"493","contig_8466"
"494","contig_8560"
"495","contig_8561"
"496","contig_8562"
"497","contig_8566"
"498","contig_8567"
"499","contig_8572"
"500","contig_8574"
"501","contig_8616"
"502","contig_8618"
"503","contig_8675"
"504","contig_8852"
"505","contig_8930"
"506","contig_8936"
"507","contig_9010"
"508","contig_9011"
"509","contig_9024"
"510","contig_9026"
"511","contig_9032"
"512","contig_9033"
"513","contig_9034"
"514","contig_9037"
"515","contig_9041"
"516","contig_9042"
"517","contig_9045"
"518","contig_9053"
"519","contig_9352"
"520","contig_9356"
"521","contig_9503"
"522","contig_9507"
"523","contig_9559"
"524","contig_9581"
"525","contig_9582"
"526","contig_9598"
"527","contig_9610"
"528","contig_9628"
"529","contig_9631"
"530","contig_9668"
"531","contig_9749"
"532","contig_9781"
"533","contig_9825"
"534","contig_9827"
"535","contig_9880"
