"","x"
"320","contig_11019"
"321","contig_11020"
"322","contig_11022"
"323","contig_11023"
"324","contig_11024"
"325","contig_11025"
"326","contig_11026"
"327","contig_11028"
"328","contig_11032"
"329","contig_11038"
"330","contig_11039"
"331","contig_11050"
"332","contig_11053"
"333","contig_11055"
"334","contig_11056"
"335","contig_11058"
"336","contig_11060"
"337","contig_11061"
"338","contig_11065"
"339","contig_11077"
"340","contig_11079"
"341","contig_11087"
"342","contig_11093"
"343","contig_11094"
"344","contig_11098"
"345","contig_111"
"346","contig_11101"
"347","contig_11102"
"348","contig_11112"
"349","contig_11116"
"350","contig_11118"
"351","contig_11119"
"352","contig_1112"
"353","contig_11122"
"354","contig_11124"
"355","contig_11125"
"356","contig_11127"
"357","contig_11129"
"358","contig_1113"
"359","contig_11134"
"360","contig_11135"
"361","contig_11139"
"362","contig_11146"
"363","contig_11149"
"364","contig_11151"
"365","contig_11155"
"366","contig_11158"
"367","contig_11166"
"368","contig_11167"
"369","contig_11168"
"370","contig_11170"
"371","contig_11173"
"372","contig_11174"
"373","contig_11176"
"374","contig_11179"
"375","contig_11181"
"376","contig_11185"
"377","contig_11192"
"378","contig_11193"
"379","contig_11196"
"380","contig_11197"
"381","contig_112"
"382","contig_11201"
"383","contig_11205"
"384","contig_1121"
"385","contig_11214"
"386","contig_11215"
"387","contig_11218"
"388","contig_11220"
"389","contig_11221"
"390","contig_11222"
"391","contig_11223"
"392","contig_11226"
"393","contig_11233"
"394","contig_11239"
"395","contig_11241"
"396","contig_11243"
"397","contig_11244"
"398","contig_11249"
"399","contig_11255"
"400","contig_11257"
"401","contig_11258"
"402","contig_11259"
"403","contig_11261"
"404","contig_11264"
"405","contig_11267"
"406","contig_1127"
"407","contig_11270"
"408","contig_11271"
"409","contig_11274"
"410","contig_11277"
"411","contig_11286"
"412","contig_11290"
"413","contig_11293"
"414","contig_113"
"415","contig_11301"
"416","contig_11305"
"417","contig_11310"
"418","contig_11313"
"419","contig_11314"
"420","contig_11316"
"421","contig_1132"
"422","contig_11321"
"423","contig_11322"
"424","contig_11323"
"425","contig_11326"
"426","contig_11327"
"427","contig_11330"
"428","contig_11332"
"429","contig_11335"
"430","contig_11338"
"431","contig_11343"
"432","contig_11344"
"433","contig_11353"
"434","contig_11354"
"435","contig_11355"
"436","contig_11356"
"437","contig_11357"
"438","contig_11362"
"439","contig_11363"
"440","contig_11365"
"441","contig_11367"
"442","contig_11368"
"443","contig_11369"
"444","contig_11370"
"445","contig_11372"
"446","contig_11373"
"447","contig_11376"
"448","contig_11382"
"449","contig_11384"
"450","contig_11389"
"451","contig_11395"
"452","contig_11403"
"453","contig_11420"
"454","contig_11429"
"455","contig_1143"
"456","contig_11430"
"457","contig_11431"
"458","contig_11439"
"459","contig_1144"
"460","contig_11443"
"461","contig_11447"
"462","contig_11451"
"463","contig_11454"
"464","contig_11455"
"465","contig_11456"
"466","contig_11457"
"467","contig_11462"
"468","contig_11466"
"469","contig_11469"
"470","contig_1147"
"471","contig_11471"
"472","contig_11474"
"473","contig_11481"
"474","contig_11482"
"475","contig_11483"
"476","contig_11491"
"477","contig_11502"
"478","contig_11503"
"479","contig_11505"
"480","contig_1151"
"481","contig_11510"
"482","contig_11520"
"483","contig_11523"
"484","contig_11527"
"485","contig_1153"
"486","contig_11530"
"487","contig_11538"
"488","contig_1154"
"489","contig_11541"
"490","contig_11542"
"491","contig_11543"
"492","contig_11545"
"493","contig_11546"
"494","contig_11549"
"495","contig_11550"
"496","contig_11554"
"497","contig_11560"
"498","contig_11561"
"499","contig_11571"
"500","contig_11576"
"501","contig_11590"
"502","contig_11594"
"503","contig_11595"
"504","contig_11596"
"505","contig_11601"
"506","contig_11602"
"507","contig_11608"
"508","contig_11609"
"509","contig_11615"
"510","contig_11622"
"511","contig_11629"
"512","contig_11630"
"513","contig_11635"
"514","contig_11637"
"515","contig_11640"
"516","contig_11648"
"517","contig_11649"
"518","contig_1165"
"519","contig_11652"
"520","contig_11656"
"521","contig_11657"
"522","contig_11659"
"523","contig_11665"
"524","contig_11666"
"525","contig_11667"
"526","contig_11668"
"527","contig_11671"
"528","contig_11674"
"529","contig_11675"
"530","contig_11689"
"531","contig_11690"
"532","contig_11692"
"533","contig_11695"
"534","contig_11697"
"535","contig_11699"
"536","contig_117"
"537","contig_11702"
"538","contig_11708"
"539","contig_11711"
"540","contig_11712"
"541","contig_11718"
"542","contig_11719"
"543","contig_11728"
"544","contig_11729"
"545","contig_11732"
"546","contig_11737"
"547","contig_11742"
"548","contig_11743"
"549","contig_11750"
"550","contig_11753"
"551","contig_11755"
"552","contig_11775"
"553","contig_11777"
"554","contig_11780"
"555","contig_11787"
"556","contig_1179"
"557","contig_11796"
"558","contig_11799"
"559","contig_118"
"560","contig_11808"
"561","contig_11809"
"562","contig_11810"
"563","contig_11816"
"564","contig_11818"
"565","contig_11833"
"566","contig_11841"
"567","contig_11845"
"568","contig_11850"
"569","contig_11865"
"570","contig_11867"
"571","contig_1187"
"572","contig_11872"
"573","contig_11873"
"574","contig_11874"
"575","contig_1188"
"576","contig_11880"
"577","contig_11883"
"578","contig_11886"
"579","contig_1189"
"580","contig_11891"
"581","contig_11892"
"582","contig_11896"
"583","contig_119"
"584","contig_1190"
"585","contig_11904"
"586","contig_11905"
"587","contig_11906"
"588","contig_11910"
"589","contig_11914"
"590","contig_11918"
"591","contig_11919"
"592","contig_1192"
"593","contig_11922"
"594","contig_11924"
"595","contig_11928"
"596","contig_11929"
"597","contig_1193"
"598","contig_11930"
"599","contig_11932"
"600","contig_11940"
"601","contig_11944"
"602","contig_11949"
"603","contig_11952"
"604","contig_11956"
"605","contig_11958"
"606","contig_11963"
"607","contig_11972"
"608","contig_11973"
"609","contig_11974"
"610","contig_11976"
"611","contig_11977"
"612","contig_11978"
"613","contig_11979"
"614","contig_11981"
"615","contig_11982"
"616","contig_11995"
"617","contig_11997"
"618","contig_120"
"619","contig_12000"
"620","contig_12004"
"621","contig_12007"
"622","contig_12014"
"623","contig_12016"
"624","contig_12021"
"625","contig_12026"
"626","contig_12027"
"627","contig_12030"
"628","contig_12031"
"629","contig_12034"
"630","contig_12036"
"631","contig_12037"
"632","contig_12038"
"633","contig_12051"
"634","contig_12056"
"635","contig_12058"
"636","contig_1206"
"637","contig_12060"
"638","contig_12063"
"639","contig_12066"
"640","contig_12067"
"641","contig_12068"
"642","contig_12076"
"643","contig_1208"
"644","contig_12081"
"645","contig_12083"
"646","contig_12088"
"647","contig_12089"
"648","contig_1209"
"649","contig_12091"
"650","contig_12096"
"651","contig_12098"
"652","contig_121"
"653","contig_1210"
"654","contig_12102"
"655","contig_12109"
"656","contig_12110"
"657","contig_12111"
"658","contig_12112"
"659","contig_12114"
"660","contig_12115"
"661","contig_12122"
"662","contig_12123"
"663","contig_12127"
"664","contig_12130"
"665","contig_12131"
"666","contig_12138"
"667","contig_12144"
"668","contig_12148"
"669","contig_12149"
"670","contig_1215"
"671","contig_12150"
"672","contig_12154"
"673","contig_12156"
"674","contig_12158"
"675","contig_12160"
"676","contig_12163"
"677","contig_12166"
"678","contig_12168"
"679","contig_1217"
"680","contig_12173"
"681","contig_12186"
"682","contig_12195"
"683","contig_12200"
"684","contig_12203"
"685","contig_12208"
"686","contig_12209"
"687","contig_12217"
"688","contig_1222"
"689","contig_12227"
"690","contig_12228"
"691","contig_12239"
"692","contig_12241"
"693","contig_12243"
"694","contig_12244"
"695","contig_1225"
"696","contig_12250"
"697","contig_12256"
"698","contig_12260"
"699","contig_12271"
"700","contig_12272"
"701","contig_12274"
"702","contig_12278"
"703","contig_12281"
"704","contig_12283"
"705","contig_12285"
"706","contig_12290"
"707","contig_12294"
"708","contig_12297"
"709","contig_12299"
"710","contig_12305"
"711","contig_12307"
"712","contig_12317"
"713","contig_1232"
"714","contig_12322"
"715","contig_12327"
"716","contig_12337"
"717","contig_12338"
"718","contig_12345"
"719","contig_12351"
"720","contig_12360"
"721","contig_12361"
"722","contig_12362"
"723","contig_12364"
"724","contig_12366"
"725","contig_12367"
"726","contig_12368"
"727","contig_12369"
"728","contig_1237"
"729","contig_12370"
"730","contig_12373"
"731","contig_12376"
"732","contig_1238"
"733","contig_12381"
"734","contig_12382"
"735","contig_12385"
"736","contig_12391"
"737","contig_1240"
"738","contig_12405"
"739","contig_12411"
"740","contig_12416"
"741","contig_12419"
"742","contig_12421"
"743","contig_12422"
"744","contig_12423"
"745","contig_12426"
"746","contig_12427"
"747","contig_12429"
"748","contig_12430"
"749","contig_12433"
"750","contig_12440"
"751","contig_12441"
"752","contig_12442"
"753","contig_12444"
"754","contig_1245"
"755","contig_12450"
"756","contig_12453"
"757","contig_12454"
"758","contig_12459"
"759","contig_12460"
"760","contig_12465"
"761","contig_12468"
"762","contig_12471"
"763","contig_12481"
"764","contig_12491"
"765","contig_12492"
"766","contig_12506"
"767","contig_12513"
"768","contig_12522"
"769","contig_12526"
"770","contig_12528"
"771","contig_1253"
"772","contig_12535"
"773","contig_12537"
"774","contig_12544"
"775","contig_12546"
"776","contig_12550"
"777","contig_12551"
"778","contig_12552"
"779","contig_1256"
"780","contig_12562"
"781","contig_12564"
"782","contig_12565"
"783","contig_12570"
"784","contig_12572"
"785","contig_12578"
"786","contig_12579"
"787","contig_12585"
"788","contig_12589"
"789","contig_12598"
"790","contig_12600"
"791","contig_12605"
"792","contig_12607"
"793","contig_12608"
"794","contig_12609"
"795","contig_12610"
"796","contig_12614"
"797","contig_12615"
"798","contig_12617"
"799","contig_1262"
"800","contig_12622"
"801","contig_12630"
"802","contig_12635"
"803","contig_12637"
"804","contig_12638"
"805","contig_12644"
"806","contig_12648"
"807","contig_1265"
"808","contig_12651"
"809","contig_12652"
"810","contig_12653"
"811","contig_12664"
"812","contig_12667"
"813","contig_12671"
"814","contig_12676"
"815","contig_12686"
"816","contig_12687"
"817","contig_12698"
"818","contig_1270"
"819","contig_12701"
"820","contig_12705"
"821","contig_12706"
"822","contig_12708"
"823","contig_12710"
"824","contig_12716"
"825","contig_1272"
"826","contig_12720"
"827","contig_12722"
"828","contig_12732"
"829","contig_1274"
"830","contig_12744"
"831","contig_12747"
"832","contig_12748"
"833","contig_12749"
"834","contig_12750"
"835","contig_12753"
"836","contig_12754"
"837","contig_12761"
"838","contig_12763"
"839","contig_12764"
"840","contig_12767"
"841","contig_12768"
"842","contig_12769"
"843","contig_12771"
"844","contig_12775"
"845","contig_12776"
"846","contig_1278"
"847","contig_12780"
"848","contig_12782"
"849","contig_12783"
"850","contig_12787"
"851","contig_12788"
"852","contig_12792"
"853","contig_1280"
"854","contig_12800"
"855","contig_12803"
"856","contig_1281"
"857","contig_12813"
"858","contig_12814"
"859","contig_1282"
"860","contig_12824"
"861","contig_12825"
"862","contig_12828"
"863","contig_1283"
"864","contig_12835"
"865","contig_12836"
"866","contig_12837"
"867","contig_1284"
"868","contig_12841"
"869","contig_12844"
"870","contig_12845"
"871","contig_12849"
"872","contig_12851"
"873","contig_12856"
"874","contig_1286"
"875","contig_12862"
"876","contig_12863"
"877","contig_12864"
"878","contig_12865"
"879","contig_12867"
"880","contig_12868"
"881","contig_12871"
"882","contig_12872"
"883","contig_12877"
